measurement_id	cctld	nameserver	target	query_argument	nsid_raw	count	classification_status	city	country_code	region_class	classification_confidence	classification_method	matched_rule_priority	matched_rule_pattern	classification_note
173811458	.be	c.nsset.be	194.0.43.1	be.	london1.ns.prodng.dc3.be	43	classified	London	GB	UK	high	contains	10	london	Explicit city name in NSID
173811458	.be	c.nsset.be	194.0.43.1	be.	prague1.ns.prodng.dc3.be	20	classified	Prague	CZ	EU	high	contains	10	prague	Explicit city name in NSID
173811458	.be	c.nsset.be	194.0.43.1	be.	zaventem1.ns.prodng.dc3.be	15	classified	Zaventem	BE	EU	high	contains	10	zaventem	Explicit city name in NSID
173811459	.be	y.nsset.be	120.29.253.8	be.	dns1.defra1	1	classified	Frankfurt	DE	EU	high	regex	20	^dns[0-9]+\.defra[0-9]+$	Compound country and city code: de plus fra
173811459	.be	y.nsset.be	120.29.253.8	be.	dns1.frpar1	5	classified	Paris	FR	EU	high	regex	20	^dns[0-9]+\.frpar[0-9]+$	Compound country and city code: fr plus par
173811459	.be	y.nsset.be	120.29.253.8	be.	dns1.gblon1	1	classified	London	GB	UK	high	regex	20	^dns[0-9]+\.gblon[0-9]+$	Compound country and city code: gb plus lon
173811459	.be	y.nsset.be	120.29.253.8	be.	dns1.nlams1	5	classified	Amsterdam	NL	EU	high	regex	20	^dns[0-9]+\.nlams[0-9]+$	Compound country and city code: nl plus ams
173811459	.be	y.nsset.be	120.29.253.8	be.	dns1.sesto1	6	classified	Stockholm	SE	EU	high	regex	20	^dns[0-9]+\.sesto[0-9]+$	Compound country and city code: se plus sto
173811459	.be	y.nsset.be	120.29.253.8	be.	dns1.usnyc1	1	classified	New York	US	Other non EU	high	regex	20	^dns[0-9]+\.usnyc[0-9]+$	Compound country and city code: us plus nyc
173811459	.be	y.nsset.be	120.29.253.8	be.	dns2.defra1	2	classified	Frankfurt	DE	EU	high	regex	20	^dns[0-9]+\.defra[0-9]+$	Compound country and city code: de plus fra
