ccTLD	zone	nameserver	ipv4	analysis_role	laces_status	laces_error	laces_prefix	backing_prefix	asn	partial_anycast	laces_gcd_pop_count	laces_gcd_pop_ids	laces_gcd_pop_cities	laces_gcd_pop_countries	laces_eu_pop_count	laces_known_non_eu_pop_count	laces_uk_pop_count	laces_ch_pop_count	laces_unknown_country_pop_count
.be	be	c.nsset.be	194.0.43.1	Measured comparison	ok		194.0.43.0/24	194.0.43.0/24		False	3	BRU; LHR; PRG	Brussels (BE); London (GB); Prague (CZ)	BE; CZ; GB	2	1	1	0	0
.be	be	y.nsset.be	120.29.253.8	Main	ok		120.29.253.0/24	120.29.253.0/24		False	24	BFI; BMA; BOG; BOM; BWI; CDG; DAL; DELHI; DEN; HKX; HND; LAX; LGA; LHR; ORD; PDK; QRA; SIN; SJC; SYD; SYZ; TAI; TXL; YZD	Atlanta (US); Baltimore (US); Berlin (DE); Bogota (CO); Chicago (US); Dallas (US); Delhi (IN); Denver (US); Hong Kong (HK); Johannesburg (ZA); London (GB); Los Angeles (US); Mumbai (IN); New York (US); Paris (FR); San Jose (US); Seattle (US); Shiraz (IR); Singapore (SG); Stockholm (SE); Sydney (AU); Taipei (TW); Tokyo (JP); Toronto (CA)	AU; CA; CO; DE; FR; GB; HK; IN; IR; JP; SE; SG; TW; US; ZA	3	21	1	0	0
.be	be	z.nsset.be	194.0.25.36	Main	ok		194.0.25.0/24	194.0.25.0/24		False	33	AMX; BBU; BLR; BMA; BOM; CDG; DAL; DUB; FRA; HKX; HND; LAX; LGA; LHR; MAD; MEL; ORD; PDK; QRA; RIX; RKV; SAO; SIN; SJC; SYD; TLV; TMB; TXL; WAW; WIE; YVR; YZD; ZRH	Amsterdam (NL); Atlanta (US); Bangalore (IN); Berlin (DE); Bucharest (RO); Chicago (US); Dallas (US); Dublin (IE); Frankfurt-am-Main (DE); Hong Kong (HK); Johannesburg (ZA); London (GB); Los Angeles (US); Madrid (ES); Melbourne (AU); Miami (US); Mumbai (IN); New York (US); Paris (FR); Reykjavik (IS); Riga (LV); San Jose (US); Singapore (SG); Stockholm (SE); Sydney (AU); São Paulo (BR); Tel Aviv (IL); Tokyo (JP); Toronto (CA); Vancouver (CA); Vienna (AT); Warsaw (PL); Zurich (CH)	AT; AU; BR; CA; CH; DE; ES; FR; GB; HK; IE; IL; IN; IS; JP; LV; NL; PL; RO; SE; SG; US; ZA	11	22	1	1	0
.nl	nl	ns1.dns.nl	194.0.28.53	Main	ok		194.0.28.0/24	194.0.28.0/24		False	10	AMX; BMA; CDG; FRA; LGA; NRT; SAO; SIN; SJC; SYD	Amsterdam (NL); Frankfurt-am-Main (DE); New York (US); Paris (FR); San Jose (US); Singapore (SG); Stockholm (SE); Sydney (AU); São Paulo (BR); Tokyo (JP)	AU; BR; DE; FR; JP; NL; SE; SG; US	4	6	0	0	0
.nl	nl	ns3.dns.nl	194.0.25.24	Main	ok		194.0.25.0/24	194.0.25.0/24		False	33	AMX; BBU; BLR; BMA; BOM; CDG; DAL; DUB; FRA; HKX; HND; LAX; LGA; LHR; MAD; MEL; ORD; PDK; QRA; RIX; RKV; SAO; SIN; SJC; SYD; TLV; TMB; TXL; WAW; WIE; YVR; YZD; ZRH	Amsterdam (NL); Atlanta (US); Bangalore (IN); Berlin (DE); Bucharest (RO); Chicago (US); Dallas (US); Dublin (IE); Frankfurt-am-Main (DE); Hong Kong (HK); Johannesburg (ZA); London (GB); Los Angeles (US); Madrid (ES); Melbourne (AU); Miami (US); Mumbai (IN); New York (US); Paris (FR); Reykjavik (IS); Riga (LV); San Jose (US); Singapore (SG); Stockholm (SE); Sydney (AU); São Paulo (BR); Tel Aviv (IL); Tokyo (JP); Toronto (CA); Vancouver (CA); Vienna (AT); Warsaw (PL); Zurich (CH)	AT; AU; BR; CA; CH; DE; ES; FR; GB; HK; IE; IL; IN; IS; JP; LV; NL; PL; RO; SE; SG; US; ZA	11	22	1	1	0
.nl	nl	ns4.dns.nl	185.159.199.200	Main	ok		185.159.199.0/24	185.159.199.0/24		False	20	ASH; BMA; BOM; CDG; CPT; FRA; HND; LAX; LHR; LOS; MAD; MEL; QRA; SAO; SCL; SIN; SYD; YUL; YVR; YZD	Ashburn (US); Cape Town (ZA); Frankfurt-am-Main (DE); Johannesburg (ZA); Lagos (NG); London (GB); Los Angeles (US); Madrid (ES); Melbourne (AU); Montréal (CA); Mumbai (IN); Paris (FR); Santiago (CL); Singapore (SG); Stockholm (SE); Sydney (AU); São Paulo (BR); Tokyo (JP); Toronto (CA); Vancouver (CA)	AU; BR; CA; CL; DE; ES; FR; GB; IN; JP; NG; SE; SG; US; ZA	4	16	1	0	0
.de	de	a.nic.de	194.0.0.53	Main	ok		194.0.0.0/24	194.0.0.0/24		False	5	AMX; BMA; LAX; LGA; WIE	Amsterdam (NL); Los Angeles (US); New York (US); Stockholm (SE); Vienna (AT)	AT; NL; SE; US	3	2	0	0	0
.de	de	l.de.net	77.67.63.105	Measured comparison	ok		77.67.63.0/24	77.67.0.0/17		False	2	CDG; LHR	London (GB); Paris (FR)	FR; GB	1	1	1	0	0
.de	de	n.de.net	194.146.107.6	Main	ok		194.146.107.0/24	194.146.107.0/24		False	30	AMX; ASH; BBU; BMA; CDG; CGN; DELHI; DMK; HEL; HKX; HND; KBP; KUL; LHR; MXP; NHD; NIX; ORD; PER; PIX; QRA; RKV; SAO; SCL; SIN; SOF; TAI; WIE; YUL; ZRH	Amsterdam (NL); Ashburn (US); Bangkok (TH); Bucharest (RO); Chicago (US); Cologne (DE); Delhi (IN); Dubai (AE); Helsinki (FI); Hong Kong (HK); Johannesburg (ZA); Kiev (UA); Kuala Lumpur (MY); London (GB); Milan (IT); Montréal (CA); Oslo (NO); Paris (FR); Perth (AU); Reykjavik (IS); San Francisco (US); Santiago (CL); Singapore (SG); Sofia (BG); Stockholm (SE); São Paulo (BR); Taipei (TW); Tokyo (JP); Vienna (AT); Zurich (CH)	AE; AT; AU; BG; BR; CA; CH; CL; DE; FI; FR; GB; HK; IN; IS; IT; JP; MY; NL; NO; RO; SE; SG; TH; TW; UA; US; ZA	9	21	1	1	0
.de	de	z.nic.de	194.246.96.1	Main	ok		194.246.96.0/24	194.246.96.0/24		False	5	FRA; GMP; LAX; MIA; SAO	Frankfurt-am-Main (DE); Los Angeles (US); Miami (US); Seoul (KR); São Paulo (BR)	BR; DE; KR; US	1	4	0	0	0
