zone	ns_name	ipv4	soa_status	soa_aa	nsid	hostname_bind	id_server	soa_query_ms
be	a.nsset.be.	194.0.6.1	NOERROR	yes	zaventem3.ns.prodng.dc3.be	zaventem3.ns.prodng.dc3.be	zaventem3.ns.prodng.dc3.be	25
be	b.nsset.be.	194.0.37.1	NOERROR	yes	diegem1.ns.prodng.dc3.be	zaventem2.ns.prodng.dc3.be	zaventem2.ns.prodng.dc3.be	22
be	c.nsset.be.	194.0.43.1	NOERROR	yes	zaventem1.ns.prodng.dc3.be	zaventem1.ns.prodng.dc3.be	zaventem1.ns.prodng.dc3.be	18
be	d.nsset.be.	194.0.44.1	NOERROR	yes	milano1.ns.prodng.dc3.be	milano1.ns.prodng.dc3.be	milano1.ns.prodng.dc3.be	37
be	y.nsset.be.	120.29.253.8	NOERROR	yes	dns3.frpar1	dns2.frpar1	dns4.frpar1	34
be	z.nsset.be.	194.0.25.36	NOERROR	yes	tld-all-sto1@53036	tld-all-amx1@53036	tld-all-sto1@53036	45
nl	ns1.dns.nl.	194.0.28.53	NOERROR	yes	eqx-am-ns02-126191	eqx-am-ns01-128214	eqx-am-ns01-128214	23
nl	ns3.dns.nl.	194.0.25.24	NOERROR	yes	tld-all-sto1@53024	tld-all-amx1@53024	tld-all-sto1@53024	42
nl	ns4.dns.nl.	185.159.199.200	NOERROR	yes	FRA2	FRA1	FRA2	23
de	a.nic.de.	194.0.0.53	NOERROR	yes	ns-1.de.nl1.knot	ns-1.de.nl1.knot	ns-2.de.nl1.knot	20
de	f.nic.de.	81.91.164.5	NOERROR	yes	ns-2.de.nl2.knot	ns-2.de.nl2.knot	ns-2.de.nl2.knot	23
de	l.de.net.	77.67.63.105	NOERROR	yes	ns-1.de.uk1.knot	ns-2.de.uk1.knot	ns-2.de.uk1.knot	25
de	n.de.net.	194.146.107.6	NOERROR	yes	s3.amx	s3.amx	s3.amx	19
de	s.de.net.	195.243.137.26	NOERROR	yes	ns-1.de.de10.knot	ns-1.de.de10.knot	ns-1.de.de10.knot	45
de	z.nic.de.	194.246.96.1	NOERROR	yes	ns-1.de.de2.knot	ns-2.de.de2.knot	ns-2.de.de2.knot	28
fr	d.nic.fr.	194.0.9.1	NOERROR	yes	dns.ams.nic.fr	dns.ams.nic.fr	dns.ams.nic.fr	22
fr	f.ext.nic.fr.	194.146.106.46	NOERROR	yes	s2.amx	s2.amx	s2.amx	23
fr	g.ext.nic.fr.	194.0.36.1	NOERROR	yes	3.ams.pch	5.ams.pch	6.ams.pch	19
cz	a.ns.nic.cz.	194.0.12.1	NOERROR	yes	dns-decix-dns03.nic.cz			25
cz	b.ns.nic.cz.	194.0.13.1	NOERROR	yes	dns-decix-dns01.nic.cz			23
cz	c.ns.nic.cz.	194.0.14.1	NOERROR	yes	dns-linx-dns03.nic.cz		dns-linx-dns03.nic.cz	27
cz	d.ns.nic.cz.	193.29.206.1	NOERROR	yes	dns-linx-dns03.nic.cz		dns-linx-dns03.nic.cz	32
fi	a.fi.	193.166.4.1	NOERROR	yes		Ficora	Ficora	44
fi	b.fi.	194.146.106.26	NOERROR	yes	s2.amx	s2.amx	s2.amx	21
fi	c.fi.	194.0.11.104	NOERROR	yes	ns-2.fi.nl1.bind	ns-2.fi.nl1.bind	ns-2.fi.nl1.bind	22
fi	d.fi.	77.72.229.253	NOERROR	yes	u1.sub	u1.sub	u1.stu	40
fi	e.fi.	194.0.1.14	NOERROR	yes		NORM 001999-20D893		49
fi	f.fi.	80.248.170.230	NOERROR	yes	FFI1	f.fi1	f.fi1	44
fi	g.fi.	204.61.216.98	NOERROR	yes	5.ams.pch	3.ams.pch	5.ams.pch	23
fi	i.fi.	194.0.25.30	NOERROR	yes	tld-all-sto1@53030	tld-all-amx1@53030	tld-all-amx1@53030	44
fi	j.fi.	185.159.199.190	NOERROR	yes	FRA2	LHR4	FRA1	26
fi	k.fi.	213.186.229.226	NOERROR	yes		hki	hki	49
se	a.ns.se.	192.36.144.107	NOERROR	yes	u1.sub	u1.sub	u1.stu	42
se	b.ns.se.	192.36.133.107	NOERROR	yes	u1.gbu	u1.gbg	u1.gbg	36
se	c.ns.se.	192.36.135.107	NOERROR	yes	u1.svl	u1.svl	u1.svl	43
se	f.ns.se.	192.36.134.97	NOERROR	yes	u1.mmx	u1.mma	u1.mmx	53
se	g.ns.se.	194.68.134.97	NOERROR	yes	u1.llb	u1.lla	u1.llb	51
se	i.ns.se.	194.146.106.22	NOERROR	yes	s2.amx	s2.amx	s2.amx	21
se	m.ns.se.	194.0.11.112	NOERROR	yes	ns-1.se.nl1.bind	ns-2.se.nl1.bind	ns-1.se.nl1.bind	20
se	x.ns.se.	213.108.25.4	NOERROR	yes	tldns02-prd.iis.se	tldns02-prd.iis.se	tldns02-prd.iis.se	44
se	y.ns.se.	185.159.197.150	NOERROR	yes	LHR3	LHR4	LHR4	31
se	z.ns.se.	185.159.198.150	NOERROR	yes	FRA2	FRA1	FRA1	26
dk	b.nic.dk.	193.163.102.222	NOERROR	yes		nic-b3.prod.dkhm.dk		35
dk	c.nic.dk.	185.159.199.45	NOERROR	yes	LHR4	FRA1	FRA2	25
dk	h.nic.dk.	46.30.126.214	NOERROR	yes		h.nic.dk	h.nic.dk	31
dk	l.nic.dk.	130.226.213.138	NOERROR	yes	nic-l2.prod.dkhm.dk	nic-l2.prod.dkhm.dk	nic-l2.prod.dkhm.dk	30
dk	s.nic.dk.	194.0.28.7	NOERROR	yes	eqx-am-ns02-126191	eqx-am-ns02-126191	eqx-am-ns02-126191	16
dk	t.nic.dk.	185.43.134.16	NOERROR	yes	dns-decix-dns02.nic.cz			30
pl	a-dns.pl.	192.102.225.53	NOERROR	yes	a-atm		a-atm	34
pl	b-dns.pl.	192.195.72.53	NOERROR	yes	b-beyond		b-beyond	37
pl	d-dns.pl.	185.159.197.48	NOERROR	yes	LHR4	LHR4	LHR4	23
pl	f-dns.pl.	194.0.25.29	NOERROR	yes	tld-all-amx1@53029	tld-all-amx1@53029	tld-all-sto1@53029	18
pl	h-dns.pl.	185.159.198.48	NOERROR	yes	FRA1	FRA2	FRA2	25
pl	j-dns.pl.	204.61.217.4	NOERROR	yes	5.ams.pch	2.ams.pch	4.ams.pch	22
it	a.dns.it.	194.0.16.215	NOERROR	yes		dns		30
it	dns.nic.it.	192.12.192.5	NOERROR	yes		dns		48
it	m.dns.it.	217.29.76.4	NOERROR	yes		m		35
it	nameserver.cnr.it.	194.119.192.34	NOERROR	yes		nameserver		53
it	r.dns.it.	193.206.141.46	NOERROR	yes		r		44
it	v.dns.it.	194.0.25.44	NOERROR	yes	tld-all-amx1@53044	tld-all-amx1@53044	tld-all-sto1@53044	22
es	a.nic.es.	194.69.254.1	NOERROR	yes		ns02.datos		57
es	c.nic.es.	194.0.34.53	NOERROR	yes	FRA2	FRA2	FRA1	24
es	g.nic.es.	204.61.217.1	NOERROR	yes	4.ams.pch	4.ams.pch	4.ams.pch	21
es	h.nic.es.	194.0.33.53	NOERROR	yes	ns-2.es.de2.bind	ns-1.es.de2.bind	ns-2.es.de2.bind	24
at	d.ns.at.	81.91.161.98	NOERROR	yes	id-d-FRA-02-at	d2	id-d-FRA-02-at	26
at	j.ns.at.	194.146.106.50	NOERROR	yes	s2.amx	s2.amx	s2.amx	18
at	n.ns.at.	81.91.173.130	NOERROR	yes	id-n-AMS-02-at	id-n-AMS-02-at	id-n-AMS-02-at	19
