measurement_id	target	query_argument	nsid_raw	valid_count	invalid_count	total_count
173811458	194.0.43.1	be.	london1.ns.prodng.dc3.be	43	0	43
173811458	194.0.43.1	be.	nomi83.percipientnetworks.com	0	1	1
173811458	194.0.43.1	be.	prague1.ns.prodng.dc3.be	20	0	20
173811458	194.0.43.1	be.	zaventem1.ns.prodng.dc3.be	15	0	15
173811459	120.29.253.8	be.	dns1.defra1	1	0	1
173811459	120.29.253.8	be.	dns1.frpar1	5	0	5
173811459	120.29.253.8	be.	dns1.gblon1	1	0	1
173811459	120.29.253.8	be.	dns1.nlams1	5	0	5
173811459	120.29.253.8	be.	dns1.sesto1	6	0	6
173811459	120.29.253.8	be.	dns1.usnyc1	1	0	1
173811459	120.29.253.8	be.	dns2.defra1	2	0	2
173811459	120.29.253.8	be.	dns2.frpar1	10	0	10
173811459	120.29.253.8	be.	dns2.nlams1	5	0	5
173811459	120.29.253.8	be.	dns2.sesto1	1	0	1
173811459	120.29.253.8	be.	dns3.frpar1	6	0	6
173811459	120.29.253.8	be.	dns3.gblon1	2	0	2
173811459	120.29.253.8	be.	dns3.indel1	1	0	1
173811459	120.29.253.8	be.	dns3.nlams1	6	0	6
173811459	120.29.253.8	be.	dns3.sesto1	2	0	2
173811459	120.29.253.8	be.	dns4.defra1	2	0	2
173811459	120.29.253.8	be.	dns4.frpar1	8	0	8
173811459	120.29.253.8	be.	dns4.gblon1	2	0	2
173811459	120.29.253.8	be.	dns4.nlams1	10	0	10
173811459	120.29.253.8	be.	dns4.sesto1	2	0	2
173811459	120.29.253.8	be.	nomi83.percipientnetworks.com	0	1	1
173811460	194.0.25.36	be.	nomi83.percipientnetworks.com	0	1	1
173811460	194.0.25.36	be.	tld-all-ams1	2	0	2
173811460	194.0.25.36	be.	tld-all-amx1@53036	4	0	4
173811460	194.0.25.36	be.	tld-all-ber1@53036	1	0	1
173811460	194.0.25.36	be.	tld-all-blr1@53036	1	0	1
173811460	194.0.25.36	be.	tld-all-buc1@53036	6	0	6
173811460	194.0.25.36	be.	tld-all-bud1@53036	3	0	3
173811460	194.0.25.36	be.	tld-all-fam1@53036	10	0	10
173811460	194.0.25.36	be.	tld-all-gnf1@53036	1	0	1
173811460	194.0.25.36	be.	tld-all-lis1@53036	1	0	1
