cctld	nameserver	CH	EU	Other non-EU	UK	total_classifiable	non_eu_total	non_eu_share	other_non_eu_share
.cz	a.ns.nic.cz	0	40	28	0	68	28	41.2	41.2
.fr	d.nic.fr	0	55	21	2	78	23	29.5	26.9
.cz	d.ns.nic.cz	0	36	16	5	57	21	36.8	28.1
.cz	b.ns.nic.cz	0	55	15	0	70	15	21.4	21.4
.at	j.ns.at	3	58	14	2	77	19	24.7	18.2
.fr	f.ext.nic.fr	3	58	14	2	77	19	24.7	18.2
.de	n.de.net	4	58	13	2	77	19	24.7	16.9
.de	z.nic.de	0	72	6	0	78	6	7.7	7.7
.cz	c.ns.nic.cz	0	29	3	44	76	47	61.8	3.9
.at	ns2.univie.ac.at	0	70	3	2	75	5	6.7	4.0
.be	y.nsset.be	0	71	2	5	78	7	9.0	2.6
.at	r.ns.at	1	72	2	1	76	4	5.3	2.6
.be	z.nsset.be	1	71	2	1	75	4	5.3	2.7
.fr	g.ext.nic.fr	1	74	2	1	78	4	5.1	2.6
.nl	ns3.dns.nl	1	72	2	1	76	4	5.3	2.6
.de	a.nic.de	0	74	2	1	77	3	3.9	2.6
.nl	ns4.dns.nl	0	56	1	21	78	22	28.2	1.3
.nl	ns1.dns.nl	0	77	1	0	78	1	1.3	1.3
.be	c.nsset.be	0	35	0	43	78	43	55.1	0.0
.de	l.de.net	0	54	0	24	78	24	30.8	0.0
